id,AfablTask1,AfablTask2,scalaTask1,scalaTask2
23333103,30,43,33,38
54627009,28,37,42,45
45373694,33,32,38,38
32262970,32,52,26,30
79564448,30,22,42,43
34303219,31,44,22,32
45474051,30,43,111,68
30487393,30,44,30,48
44618213,31,44,40,53
79979378,37,43,46,58
14376916,30,43,74,74
42026664,30,21,29,31
11696648,31,45,15,24
64949660,32,44,30,31
30394944,33,31,12,12
