0	0.456
1	0.4635
2	0.4675
3	0.477
4	0.482
5	0.4895
6	0.496
7	0.4935
8	0.498
9	0.4985
10	0.5035
11	0.499
12	0.4995
13	0.504
14	0.5115
15	0.5105
16	0.5025
17	0.508
18	0.5085
19	0.5045
20	0.5045
21	0.5105
22	0.5015
23	0.5055
24	0.5125
25	0.5125
26	0.5095
27	0.508
28	0.5245
29	0.51
30	0.507
31	0.5105
32	0.514
33	0.5165
34	0.517
35	0.5145
36	0.506
37	0.5205
38	0.5165
39	0.5135
40	0.516
41	0.515
42	0.5195
43	0.5185
44	0.5205
45	0.521
46	0.517
47	0.516
48	0.515
49	0.527
50	0.515
51	0.5295
52	0.5295
53	0.526
54	0.5115
55	0.523
56	0.521
57	0.52
58	0.5245
59	0.5185
60	0.5235
61	0.5205
62	0.526
63	0.515
64	0.519
65	0.5195
66	0.521
67	0.519
68	0.53
69	0.514
70	0.522
71	0.5235
72	0.523
73	0.5155
74	0.5135
75	0.522
76	0.5215
77	0.523
78	0.526
79	0.524
80	0.5205
81	0.523
82	0.527
83	0.529
84	0.5195
85	0.523
86	0.5235
87	0.5205
88	0.511
89	0.521
90	0.5245
91	0.5185
92	0.516
93	0.527
94	0.5275
95	0.5175
96	0.5215
97	0.5195
98	0.5245
99	0.5185
