0	0.459
1	0.4975
2	0.5005
3	0.497
4	0.512
5	0.5095
6	0.529
7	0.517
8	0.529
9	0.5265
10	0.5175
11	0.5325
12	0.533
13	0.5275
14	0.54
15	0.5295
16	0.533
17	0.5385
18	0.541
19	0.5335
20	0.5325
21	0.537
22	0.5375
23	0.5375
24	0.521
25	0.541
26	0.5275
27	0.5325
28	0.541
29	0.5355
30	0.5305
31	0.524
32	0.551
33	0.545
34	0.5425
35	0.5435
36	0.5455
37	0.5365
38	0.5405
39	0.537
40	0.537
41	0.549
42	0.5425
43	0.531
44	0.5385
45	0.5415
46	0.531
47	0.5495
48	0.551
49	0.539
50	0.543
51	0.537
52	0.542
53	0.54
54	0.538
55	0.532
56	0.538
57	0.5445
58	0.537
59	0.5445
60	0.544
61	0.523
62	0.55
63	0.528
64	0.539
65	0.533
66	0.5415
67	0.541
68	0.533
69	0.533
70	0.5505
71	0.541
72	0.5335
73	0.544
74	0.5465
75	0.538
76	0.5395
77	0.543
78	0.543
79	0.533
80	0.5395
81	0.5395
82	0.53
83	0.539
84	0.5275
85	0.541
86	0.534
87	0.542
88	0.538
89	0.5425
90	0.5365
91	0.5505
92	0.54
93	0.5445
94	0.55
95	0.546
96	0.54
97	0.5425
98	0.5395
99	0.544
